Nom,Type,Latitude,Longitude,Superficie_m2
,,3959701.1232597223,784380.5621888768,4805.682964331466
,,3960047.1991720763,784057.3511882593,10869.564567458085
,,3960442.737968943,785611.0726923868,10045.811291618069
,,3960407.410750558,785509.0186307617,10442.863989289626
,,3959488.5645721615,784372.190423205,32854.05332853681
,,3960717.1167819374,785784.7324670515,4391.685081896736
,,3960754.3906437475,785709.5883734369,23453.16135023363
,pitch,3959650.0379680204,784502.8150644006,8666.325842756736
,,3959566.4774583704,784563.8566988269,7762.375703210859
,,3960689.895268356,785515.2485409847,445.9151523186522
,,3960606.0795250386,785592.9174653036,305.05580322754474
,,3960215.0609541787,784022.4569119692,6593.774702465129
,,3959999.405517633,784285.6015485778,4288.386556746594
,,3960048.873516453,784364.8731108162,10826.995966417284
,,3959634.2392790993,784445.1644394717,4299.800596810929
,,3960614.1035051323,785635.3052573499,838.9795720102037
,,3959544.38768288,784254.6504078786,8486.884081451306
,,3959406.1537048323,783894.4417798088,142692.82019080527
,pitch,3961304.9856268354,784286.4258598262,2222.1921118617192
,pitch,3964567.7546685874,792057.4515361802,2801.2511385676667
,pitch,3963162.7639252925,784246.7736401838,16166.723236554686
,,3964951.1985067804,794209.2554361939,852557.1055896693
,,3961549.612477112,796162.3993821536,601529.1802872886
,,3963125.1661190013,796091.8846871214,150440.7008787714
,,3960629.253977482,794922.6963487956,2356285.0451250053
,,3964199.2197331246,794995.918582933,492998.13386483176
,,3958184.9788316246,784849.9551074727,289981.89531400136
,,3959967.6241759732,782237.5788976472,37458.067787549255
,,3957323.505937474,787107.7827059574,845506.3898186667
,,3961390.584025275,777025.761570032,35487.21316928493
,,3957340.220577403,785502.8644381108,1771721.451493093
,,3956327.1275001434,786321.1602741972,1681361.6911732631
,,3958406.3438436603,785235.897197965,26018.04160711663
,,3958765.5947263455,783755.0443725919,233300.0977542572
,,3963767.703547342,793066.6587263797,185429.77804568596
,,3968752.52698653,795333.5461790519,126852.0161450752
,,3965665.3593366523,793940.7997346038,136926.65149715965
,,3968619.154499926,794900.1983310163,135002.25709481913
,,3969080.9828181276,795761.3428943262,76058.86826597307
,,3963546.2597046527,792652.6505565357,103203.28160680443
,,3968975.6082552853,796475.5930859647,115407.4523124911
,,3966527.5367954383,793963.4501349857,203105.01472570447
