Zone,Type,Latitude,Longitude,Superficie_m2
,,3964576.7979007117,788327.0477400285,142.8383805238045
,,3964570.9732802017,788357.0089530754,225.4304676033293
,,3964583.8920145407,788440.849846378,178.41533531001735
,,3964693.04466544,788439.3929598148,293.23417353360736
,,3964565.175656201,788426.8626163311,195.65502250581542
,,3964753.6779838908,788434.348441669,297.31602068206286
,,3964719.692244811,788448.4051685027,230.81115220587606
,,3964377.522004583,788296.7712878106,1197.8208410467664
,,3963890.396186695,789494.052404414,2893.7526120923512
,residential,3959938.549727787,792380.2555284692,266496.21549510333
,residential,3960826.447018799,791300.1016466651,798348.7098202046
,,3961490.1379481717,776925.4203689864,2265.532104708674
,,3964886.7515897914,777785.6855355141,267.5448163590655
,,3961533.267963156,776798.3564123374,2675.8770149529137
,,3964901.9093504464,777827.5844102924,273.07365564767014
,residential,3960603.3559034443,781015.4085939782,458847.9744776199
,,3961880.841711653,776916.4241596464,1250.9551400159742
,,3964696.313174674,777554.6021196259,112.63992198524625
,residential,3962959.056308477,779285.647893616,619754.0217754124
,,3963807.426434865,777534.0550090059,617.6222986493913
,,3963036.153997275,777408.9127350409,6293.264099280763
,,3965134.6672763512,778035.0762567692,448.9507023484077
Masjid al-Masli,,3964091.244396363,787818.6201544555,604.9025872707612
,,3964385.9867354305,788054.19289787,800.6781970072357
,,3964443.7872187756,788133.3166813073,3704.8645718487996
,,3964915.860691068,788232.0027842108,147.01580136432273
,,3964748.3114788043,788132.4610793084,836.9146487860767
,residential,3960363.4053172064,777848.7853262314,1319801.3830873359
,,3965571.0171769983,784928.3277449138,2298.069610384722
,,3964167.020079059,788531.0730560471,1273.4379834270055
,residential,3964829.302186362,792884.2142351934,88107.69129833109
,residential,3965370.5639084443,793070.3424510933,261070.267418177
,residential,3964074.4601847962,793346.8412806063,356313.54266699846
,,3963225.6319763325,787721.087546152,696.4214353994423
,industrial,3959439.8138902294,776865.2195591391,128841.47589595495
,,3959227.2293875907,780812.228657495,5136.831532492496
,,3960714.410219426,790538.9013982717,3349.918030419251
,,3959735.503579563,791856.348978072,4217.78692000091
,,3960258.8925286466,790714.3391181462,11783.759722468856
,,3960852.7056770152,790449.9576317513,1206.2824267629787
,,3960364.871800859,790392.8314272261,4379.432778640587
,,3959629.227525628,791448.02696797,5743.61550209511
,,3959539.309403474,791640.1359144207,1182.4356924724548
,,3960483.9225040604,790779.0201712608,4792.488402987936
,,3959673.457785535,791796.5684455333,6721.478544049967
,,3960649.5198469795,790600.3790945965,2727.4808814906264
,,3959461.031709466,791591.3023149095,6244.916378044667
,,3960440.7411153754,790656.299534447,5270.661148053336
